,phrase,label,sentiment,subjectivity,language,count
…,…,MISC,,,de,7
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,4
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,3
Airbus A320,Airbus A320,MISC,,,de,3
Zeit,Zeit,MISC,,,de,2
World Weather Attribution Group,World Weather Attribution Group,MISC,,,de,2
Tornado in Urexweiler,Tornado in Urexweiler,MISC,,,de,2
CDU-Landtagsfraktionschef,CDU-Landtagsfraktionschef,MISC,,,de,2
Niedersächsischen Landesforsten,Niedersächsischen Landesforsten,MISC,,,de,2
Triste Bonussaison: Deal-Dürre: Berenberg,Triste Bonussaison: Deal-Dürre: Berenberg,MISC,,,de,2
Opiumanbau,Opiumanbau,MISC,0.0,0.0,de,2
Vergangenes Jahr,Vergangenes Jahr,MISC,,,de,2
Late I…,Late I…,MISC,,,de,1
Chaos in Spanien,Chaos in Spanien,MISC,,,de,1
Hohe Salzgehalte,Hohe Salzgehalte,MISC,,,de,1
"Mehr Hitzetote, die Ausbreitung von Infektionskrankheiten","Mehr Hitzetote, die Ausbreitung von Infektionskrankheiten",MISC,,,de,1
Ein Unwetter mit Hagel,Ein Unwetter mit Hagel,MISC,,,de,1
Vrkelo erebW )D,Vrkelo erebW )D,MISC,,,de,1
rreaipgnM,rreaipgnM,MISC,,,de,1
A…,A…,MISC,,,de,1
soziale,soziale,MISC,,,de,1
Videos,Videos,MISC,,,de,1
"Unwettern mit heftigen Regenfällen, Hagel","Unwettern mit heftigen Regenfällen, Hagel",MISC,,,de,1
Vogelgrippe.,Vogelgrippe.,MISC,,,de,1
Winter.,Winter.,MISC,,,de,1
"When browsing with ads:
","When browsing with ads:
",MISC,,,de,1
"Stürme, Waldbrände, Dürre","Stürme, Waldbrände, Dürre",MISC,,,de,1
Südwest-Wirtschaft,Südwest-Wirtschaft,MISC,,,de,1
Not in Guatemala:,Not in Guatemala:,MISC,,,de,1
Hamburger,Hamburger,MISC,,,de,1
Skandalpr…,Skandalpr…,MISC,,,de,1
Hunger:,Hunger:,MISC,,,de,1
Warum Krieg,Warum Krieg,MISC,,,de,1
CDU-Frak…,CDU-Frak…,MISC,,,de,1
Das stille Sterben in Flüssen,Das stille Sterben in Flüssen,MISC,,,de,1
