,Weinlese,Wohnen,Ski,Hochwasser,Auto
2022-10-23,1,0,6,0,0
2022-10-24,0,0,2,0,0
2022-10-25,4,0,2,0,0
2022-10-28,0,0,0,1,2
2022-10-29,0,0,1,0,0
2022-10-31,0,0,3,0,0
2022-11-02,0,0,1,0,0
2022-11-03,0,1,0,0,0
2022-11-04,0,0,3,0,0
2022-11-05,0,0,1,0,0
2022-11-06,0,0,1,1,0
2022-11-08,0,0,1,0,4
2022-11-09,0,0,0,0,1
2022-11-10,0,0,2,0,0
2022-11-14,0,0,2,1,0
2022-11-15,0,0,2,2,1
2022-11-16,0,1,1,1,0
2022-11-18,0,0,0,0,1
2022-11-19,0,0,1,0,0
2022-11-20,0,0,0,0,1
2022-11-21,0,0,3,0,1
2022-11-22,0,0,1,0,0
1970-01-01,0,0,0,0,0
