,summary,Weinlese,Wohnen,Auto,Hochwasser,Ski,word
summaryOfAllWords,24910.898099642196,2480.9620000797004,1588.6129563985724,7837.605188216935,3887.850511328379,9115.86744361409,
CDU-Politiker,3.2121948179336175,-0.18631535471564611,-0.11083440806958254,0.5484543271564926,-0.3252873417856725,-0.5890690415389958,CDU-Politiker
offen,5.416586793630661,-0.7088267815231886,-0.6333458348771248,0.12079569736354255,-0.847798768593215,0.3025995075027812,offen
cdu-politiker offen,2.681375023831508,-0.005690638857457802,0.06979030778860604,0.3673896995691749,-0.14466262592748408,-0.4084443256808074,cdu-politiker offen
Tempolimit,5.498742697297613,-0.7238803729295415,-0.6483994262834779,0.8469914235747099,-0.862852359999568,-1.1266340597528912,Tempolimit
offen tempolimit,3.4333006831997634,-0.2528830040901553,-0.17740205744409157,0.600930600900609,-0.39185499116018163,-0.6556366909135051,offen tempolimit
DER,5.105312235463019,-0.6496425197382026,-0.574161573092139,0.4189594503871527,0.2299328241205696,-0.43310998893745467,DER
tempolimit der,2.7235852168395,-0.021310014125855647,0.05417093252020789,0.3858340865460179,-0.16028200119588207,-0.4240637009492054,tempolimit der
SPIEGEL,5.214897371421106,-0.6708803160772354,-0.5953993694311718,0.4168974513925878,0.23392624808206797,-0.4245208037990899,SPIEGEL
der spiegel,5.214897371421106,-0.6708803160772354,-0.5953993694311718,0.4168974513925878,0.23392624808206797,-0.4245208037990899,der spiegel
Die,97.21865209811057,0.7612952705783091,-0.03385723656054533,-0.775254959961334,-0.10635479998486604,0.1840377897505401,Die
spiegel die,3.6119518491366756,-0.303609211977618,-0.22812826533155423,0.6370072148061681,-0.44258119904764437,-0.7063628988009676,spiegel die
Energiekrise,15.113291144041902,-1.7349354721950268,-1.6594545255489632,0.03372584571624469,-0.851171748650051,0.4575437527410536,Energiekrise
die energiekrise,4.0192790355858445,-0.41046344948070695,-0.3349825028346433,0.02414869732031285,-0.5494354365507332,0.2627514047421566,die energiekrise
führt,6.326686983604587,-0.8641376231419514,-0.7886566764958878,0.6813881423712859,-1.0031096102119779,-0.3813392048815269,führt
energiekrise führ,2.7917905545088373,-0.04604407310840138,0.029436873537662292,0.4138015941115293,-0.18501606017842775,-0.44879775993175103,energiekrise führ
Umdenken,3.5557924007665904,-0.28793884327611685,-0.21245789663005318,0.6261940271025529,-0.4269108303461433,-0.6906925300994665,Umdenken
führ umdenken,2.820794707188634,-0.0563795636240782,0.019101383021985635,0.4250621199609362,-0.19535155069410445,-0.4591332504474278,führ umdenken
Verschiedene,2.853629498177951,-0.06795259950503751,0.007528347141026284,0.4373873760423981,-0.20692458657506393,-0.4707062863283872,Verschiedene
umdenken verschieden,2.853629498177951,-0.06795259950503751,0.007528347141026284,0.4373873760423981,-0.20692458657506393,-0.4707062863283872,umdenken verschieden
verschieden cdu-politiker,2.659348648410635,0.002557868894729083,0.0780388155407928,0.3573911670605947,-0.13641411817529728,-0.4001958179286206,verschieden cdu-politiker
signalisieren,2.9700616608150523,-0.10794362113182117,-0.03246267448575727,0.47781321993695475,-0.24691560820184738,-0.5106973079551708,signalisieren
cdu-politiker signalisier,2.9700616608150523,-0.10794362113182117,-0.03246267448575727,0.47781321993695475,-0.24691560820184738,-0.5106973079551708,cdu-politiker signalisier
zumindest,5.156352483049744,-0.6595903537194301,-0.5841094070733662,0.05829676780483791,-0.7985623407894563,0.3303831228789117,zumindest
signalisier zumindest,3.182915292769929,-0.17715844287366767,-0.101677496227604,0.5407286786506004,-0.316130429943694,-0.5799121296970173,signalisier zumindest
befristet,3.302493616792212,-0.21403873188689315,-0.1385577852408297,0.5710715324323439,-0.35301071895691966,-0.6167924187102429,befristet
zumindest befristet,3.302493616792212,-0.21403873188689315,-0.1385577852408297,0.5710715324323439,-0.35301071895691966,-0.6167924187102429,zumindest befristet
befristet tempolimit,2.698701023799508,-0.012131462262497648,0.0633494843835662,0.3750716854570194,-0.15110344933252404,-0.4148851490858473,befristet tempolimit
130,4.241781389961313,-0.4643442274674835,-0.3888632808214199,0.733326399960083,-0.6033162145375099,-0.8670979142908332,130
tempolimit 130,4.241781389961313,-0.4643442274674835,-0.3888632808214199,0.733326399960083,-0.6033162145375099,-0.8670979142908332,tempolimit 130
Autobahnen,8.773917212662084,-1.1911442744853045,-1.1156633278392407,0.973928991164183,-1.3301162615553308,-1.5938979613086541,Autobahnen
130 autobahn,5.648253161696712,-0.7507072297485289,-0.6752262831024652,0.8565432532718503,-0.8896792168185552,-1.1534609165718785,130 autobahn
