keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Vergaser',de,Auto,#4287f5,#59B995,1,1
'Verbrenner',de,Auto,#4287f5,#59B995,1,1
'Historisch',de,Auto,#4287f5,#59B995,1,1
'Wohnen',de,Wohnen,#9e3215,#599CB9,1,1
'Kosten',de,Wohnen,#9e3215,#599CB9,1,1
'Fläche',de,Wohnen,#9e3215,#599CB9,1,1
'Wohnen Kosten Fläche',de,Wohnen,#9e3215,#599CB9,1,1
'Winter',de,Ski,#4287f5,#D0E9F4,1,1
'Feldberg',de,Ski,#4287f5,#D0E9F4,1,1
'Schnee',de,Ski,#4287f5,#D0E9F4,1,1
'Tourismus',de,Ski,#4287f5,#D0E9F4,1,1
'Historisch',de,Hochwasser,#4287f5,#07B0FA,1,1
'Historisch',de,Hochwasser,#4287f5,#07B0FA,1,1
'Historisch',de,Hochwasser,#4287f5,#07B0FA,1,1
'Historisch',de,Hochwasser,#4287f5,#07B0FA,1,1
'Hitze',de,Weinlese,#9e3215,#69B959,1,1
'Dürre',de,Weinlese,#9e3215,#69B959,1,1
'Starkregen',de,Weinlese,#9e3215,#69B959,1,1
'Frost',de,Weinlese,#9e3215,#69B959,1,1
'Hagel',de,Weinlese,#9e3215,#69B959,1,1
'Ernte',de,Weinlese,#9e3215,#69B959,1,1
'Herbst',de,Weinlese,#9e3215,#69B959,1,1
